Movie Name,Genre,Ratings,Voting Counts,Duration
Kidnapped: Elizabeth Smart,"Crime,Documentary",6.7,6574,91
Kraken,"Action,Drama,Fantasy",4.9,6473,100
29,"Comedy,Drama,Romance",7.7,6424,150
Resident Evil,"Action,Horror,Sci-Fi",7.8,6384,90
I Want Your Sex,"Comedy,Romance",5.9,6319,90
Jana Nayagan,"Action,Drama,Thriller",5.2,6310,183
Bethlehem Kudumba Unit,"Comedy,Drama,Romance",8.3,6306,157
Practical Magic 2,"Comedy,Fantasy,Romance",6.4,6286,130
The Amazing Digital Circus: The Last Act,"Adventure,Animation,Comedy",7.5,6280,95
Ram and Leela,"Comedy,Romance",6.1,6213,141
Kara,"Action,Crime,Drama",6.7,6194,159
Vishwanath and Sons,"Drama,Family,Romance",7.3,6117,161
Secret of Kalinga,"Comedy,Fantasy,Horror",4.8,6115,120
Do Deewane Seher Mein,"Drama,Romance",6.1,6101,138
"Love Me, Love Me","Drama,Romance",4.3,6067,99
Landlord,"Action,Drama,Family",4.3,6013,156
Idhayam Murali,"Comedy,Drama,Romance",7.1,6005,150
Nagabandham - The Secret Treasure,"Action,Adventure,Drama",6.5,5907,185
The Moment,"Comedy,Drama,Thriller",6.1,5902,103
Mirzapur: The Movie,"Action,Crime,Drama",7.8,5876,195
Killer Whale,"Action,Horror,Thriller",3.7,5867,89
The Magic Faraway Tree,"Adventure,Family,Fantasy",6.2,5849,110
"You, Me & Tuscany","Comedy,Romance",5.9,5841,105
Daadi Ki Shaadi,"Comedy,Drama,Family",5.7,5839,155
Mission C1000,Action,9.3,5801,128
Balan: The Boy,"Drama,Mystery,Thriller",8.0,5791,150
The Secret Woman,Drama,6.0,5624,118
The Last Sunrise,"Drama,Romance",5.6,5604,106
Dridam,"Crime,Drama,Thriller",7.0,5523,128
Finding Emily,"Comedy,Romance",6.9,5499,110
Drishyam 3,"Crime,Drama,Family",6.6,5454,157
Ginny Wedss Sunny 2,"Comedy,Drama,Family",4.5,5416,134
The Swedish Connection,"Biography,Drama,History",6.9,5398,102
Do Not Enter,Horror,4.3,5398,91
Mollywood Times,"Comedy,Drama",7.2,5387,150
Your Fault: London,"Drama,Romance",6.0,5356,123
Assi,"Crime,Drama,Thriller",6.7,5267,134
